Course,City,State/Province,Country,Postal Code,# Holes,Rating,Approximate_Lat,Approximate_Lon
Adventist DISCovery Park,Opelika,Alabama,United States,36804,3,0,32.534249,-85.347421
Agape Disc Golf Course,Scottsboro,Alabama,United States,35769,9,0,34.597984,-86.104809
Aggieland Disc Golf,Hamilton,Alabama,United States,35570,18,0,34.163750,-87.993165
Agricultural Heritage Park,Auburn,Alabama,United States,36830,9,0,32.538930,-85.492645
Arab City Park,Arab,Alabama,United States,35016,18,0,34.323870,-86.502006
Asbury UMC Disc Golf Course,Madison,Alabama,United States,35758,9,0,34.711417,-86.746510
Athens State University,Athens,Alabama,United States,35611,9,0,34.773833,-87.084145
Auburn University Montgomery (AUM),Montgomery,Alabama,United States,36117,22,0,32.378728,-86.145011
Baker High School,Mobile,Alabama,United States,36608,9,0,30.681503,-88.300213
Bowers Park,Tuscaloosa,Alabama,United States,35405,18,4,33.120607,-87.538904
Brahan Springs Park,Huntsville,Alabama,United States,35805,18,3.333335,34.709368,-86.620290
Brush Creek Park,Waterloo,Alabama,United States,35677,18,0,34.955707,-88.026555
Burnt Corn Creek Park,Brewton,Alabama,United States,36426,9,4,31.140984,-87.071111
Calhoun Huntsville Campus Disc Golf Course,Huntsville,Alabama,United States,35805,6,0,34.709368,-86.620290
Capital City Disc Golf Course,St. Stephens,Alabama,United States,36569,18,0,31.542478,-88.091294
Casture Pattle Disc Golf Course,Lanett,Alabama,United States,36863,18,4,32.889494,-85.263750
Chapman Pines Disc Golf Course,Huntsville,Alabama,United States,35811,18,0,34.795354,-86.509948
Chickasabogue County Park - New Ridge,Eight Mile,Alabama,United States,36613,18,0,30.809841,-88.187450
Chickasabogue County Park - Original,Eight Mile,Alabama,United States,36613,18,4.5,30.809841,-88.187450
Chickasaw Community Park,Chickasaw,Alabama,United States,36611,18,4.333335,30.769623,-88.080073
Choccolocco Park,Oxford,Alabama,United States,36203,18,0,33.583080,-85.834626
Citronelle Municipal Park,Citronelle,Alabama,United States,36522,18,5,31.090945,-88.275355
Clanton Disc Golf Course,Clanton,Alabama,United States,35045,18,0,32.799962,-86.676761
Clay Disc Golf Course,Clay,Alabama,United States,35126,21,0,33.730771,-86.655119
Cottage Hill Park,Mobile,Alabama,United States,36695,18,3,30.628385,-88.280303
Creola City Park,Creola,Alabama,United States,36525,18,0,30.890103,-88.018704
Daphne Central Park,Daphne,Alabama,United States,36526,18,5,30.611152,-87.859918
Diamond Disc Golf,Cottonwood,Alabama,United States,36320,9,0,31.049925,-85.319153
Disc Golf Kymulga,Childersburg,Alabama,United States,35044,18,0,33.243975,-86.380759
Drake Springs,Huntsville,Alabama,United States,35805,9,0,34.709368,-86.620290
Dublin Park,Madison,Alabama,United States,35758,9,2,34.711417,-86.746510
Elkahatchee State Park,Alexander City,Alabama,United States,35010,9,3,32.916719,-85.940589
Fairhope Municipal Park,Fairhope,Alabama,United States,36532,20,5,30.480713,-87.861306
Fairview Park Disc Golf Course,Fairview,Alabama,United States,35058,18,3,34.228856,-86.737261
Faith Church,Florence,Alabama,United States,35634,3,0,34.919270,-87.614548
Faulkner State Community College,Bay Minette,Alabama,United States,36507,18,0,30.858609,-87.742025
First Baptist Church of Robertsdale,Robertsdale,Alabama,United States,36567,9,0,30.623536,-87.556960
Flying Dragon Disc Golf Course,Decatur,Alabama,United States,35603,18,0,34.535452,-86.971226
Fort Rucker Flying Disc Golf Course,Fort Rucker,Alabama,United States,36362,18,5,31.350932,-85.679787
Freedom Hills Disc Golf Course,Red Bay,Alabama,United States,35582,9,0,34.486800,-88.112899
Gattman Park,Muscle Shoals,Alabama,United States,35661,9,0,34.768526,-87.562802
George Ward Park,Birmingham,Alabama,United States,35205,24,4,33.494995,-86.808077
Greenbrier Woods,Madison,Alabama,United States,35756,9,0,34.643700,-86.818151
Greg Carter Memorial Course,Russellville,Alabama,United States,35653,18,0,34.518191,-87.871965
Greg Carter Memorial Disc Golf Course,Trussville,Alabama,United States,35173,18,4,33.655407,-86.563109
H.A. Alexander Park,Moulton,Alabama,United States,35650,18,0,34.447233,-87.308593
Halawaka Park,Salem,Alabama,United States,36874,18,3,32.564252,-85.198549
Heritage Park,Cullman,Alabama,United States,35055,18,4.5,34.151121,-86.758808
Honda Park Disc Golf Course,Lincoln,Alabama,United States,35096,18,0,33.620336,-86.107668
Hurricane Alley Disc Golf Course,Irvington,Alabama,United States,36544,9,0,30.479701,-88.230089
Indian Creek Disc Golf Course,Huntsville,Alabama,United States,35806,20,3.75,34.760774,-86.685762
Inverness Disc Golf Park,Birmingham,Alabama,United States,35242,18,4,33.425247,-86.672084
Ivan K. Hill Disc Golf Course,Winfield,Alabama,United States,35594,18,5,33.932693,-87.774369
Jacksonville Community Disc Golf Course,Jacksonville,Alabama,United States,36265,9,1,33.847655,-85.784916
Joe Wheeler State Park,Rogersville,Alabama,United States,35652,18,0,34.846744,-87.310208
John Hunt Park,Huntsville,Alabama,United States,35802,18,1,34.668212,-86.558882
John Lemaster Memorial Disc Golf Course,Trussville,Alabama,United States,35173,18,5,33.655407,-86.563109
Kent Robertson Park,Huntsville,Alabama,United States,35802,6,0,34.668212,-86.558882
Kudzu Cove Disc Golf Course,Guntersville,Alabama,United States,35976,18,0,34.345767,-86.330025
Lake Ellis Disc Golf Course,Chatom,Alabama,United States,36518,18,0,31.459303,-88.284040
Lake Point Park,Heflin,Alabama,United States,36264,18,4,33.596783,-85.551483
Lakeside Disc Golf at Veterans Memorial Park,Florence,Alabama,United States,35630,18,5,34.822980,-87.661652
Lakeview Country Club,McCalla,Alabama,United States,35111,18,5,33.284352,-87.094878
Langan Municipal Park,Mobile,Alabama,United States,36608,19,3.5,30.681503,-88.300213
Lifepoint Disc Golf Course,Albertville,Alabama,United States,35950,9,0,34.249750,-86.261097
Live Oak Landing,Stockton,Alabama,United States,36579,18,0,31.106823,-87.796932
Magnolia Links,Mount Olive,Alabama,United States,35117,18,4,33.667778,-86.892599
Major Creek Crossing,Montgomery,Alabama,United States,36109,10,1,32.388957,-86.242148
Mastin Lake,Huntsville,Alabama,United States,35810,18,3.75,34.803193,-86.601445
McFarland Park Disc Golf,Florence,Alabama,United States,35630,18,4,34.822980,-87.661652
Mirabeau Apartments,Huntsville,Alabama,United States,35805,9,0,34.709368,-86.620290
Monte Sano State Park,Huntsville,Alabama,United States,35801,18,4,34.725269,-86.560866
MRAG Disc Golf Course,Mobile,Alabama,United States,36618,18,0,30.736902,-88.169796
Municipal Red Disc Golf Course,Mobile,Alabama,United States,36608,18,0,30.681503,-88.300213
New Hope City Park Disc Golf Course,New Hope,Alabama,United States,35760,18,0,34.543906,-86.383856
North Jasper Park,Jasper,Alabama,United States,35503,18,0,33.936479,-87.305113
