ID,Name, Number of holes, Latitude, Longitude
1,10-3 at CB,27,38.90,-106.97
2,1000 Acres Ranch Disc Golf Course,18,43.43,-73.87
3,2022 Lucky Disc Golf Open Freeman North,18,43.51,-112.05
4,3 Creeks,18,39.71,-76.00
5,50 Acre Park,18,41.73,-87.69
6,501 Disc Golf,18,42.23,-72.19
7,The 5th Element,18,39.54,-77.11
8,65th Infantry Veterans Disc Golf Course,18,28.33,-81.35
9,Aant'iyeik Park,18,58.38,-134.74
10,Abendschein Park,18,42.90,-87.90
11,Acadiana Park - Ace Run,18,30.25,-91.99
12,Acadiana Park - Duzee,18,30.25,-91.99
13,Ace Eight Disc Golf Course at DeSales University,18,40.54,-75.38
14,Ace Run Ranch,18,36.64,-76.65
15,Acker's Acres - The Twisted,18,44.08,-69.88
16,Acker's Acres - The Wicked,18,44.09,-69.88
17,Acorn Disc Golf Course,18,45.02,-93.11
18,Active Heroes,19,37.98,-85.59
19,Adair Park,18,44.67,-123.21
20,Adams Hollow,18,39.93,-104.88
21,Addison Oaks County Park,24,42.80,-83.16
22,Adelaide Park,18,43.79,-88.46
23,The Admiral,18,30.75,-88.23
24,Adrian Disc Golf Course,18,43.64,-95.94
25,Afton Alps,18,44.85,-92.79
26,Aggie Greens at Hughes Stadium,18,40.56,-105.14
27,Aggieland Disc Golf,18,34.13,-88.00
28,Agnes Moffitt Park,18,29.81,-95.56
29,Ahoskie Creek Park,18,36.29,-77.00
30,Air Rider Disc Golf at Camper's Haven,18,43.77,-83.10
31,Airborn Disc Golf - Lynx,18,45.41,-94.03
32,Airborn Disc Golf - Timberwolf,18,45.41,-94.03
33,Airport Park Disc Golf Course,18,39.55,-97.66
34,Akron Community Disc Golf Course,18,41.04,-86.03
35,Alamosa Disc Golf Course,18,37.49,-105.89
36,Albert Oakland Park - Lower (Bottom),18,38.98,-92.31
37,Albert Oakland Park - Upper (Top),18,38.99,-92.31
38,Alcantra Disc Golf - Big Su,20,61.61,-149.38
39,Alcyon Woods,18,39.73,-75.15
40,Alex Clark Memorial Disc Golf Course,18,33.19,-96.65
41,Alexander Park,18,33.92,-84.00
42,Alexandria Township Park Disc Golf Course,18,40.59,-75.06
43,Alien's Landing,18,43.33,-83.08
44,All Aboard Disc Golf,18,45.25,-68.59
45,All-Terrain Disc Golf Course at Carolina Adventure World,18,34.49,-80.95
46,Allaire State Park,18,40.16,-74.13
47,Alma Flying Disc Golf Course,18,35.50,-94.22
48,Almon Park Disc Golf Course,18,45.59,-89.42
49,Alta Vista Disc Golf Course,18,38.66,-105.12
50,Alton Baker Disc Golf Course,18,44.06,-123.08
51,Altstadt Acres,18,38.29,-86.95
52,Gray Center - Alumni Disc Golf Course,18,32.75,-90.02
53,Amanda's Field,18,39.26,-74.74
54,Ambient Disc Golf Course,18,47.19,-122.51
55,Ambrose A. Call Park,18,43.05,-94.25
56,Amelia Earhart Park,18,25.89,-80.28
57,American Legion Mtn. Post 781 Disc Golf Course,18,41.13,-75.95
58,Amigo Park at Hill College,18,32.33,-97.44
59,Amundson Park,18,43.93,-90.84
60,Anderson Creek,18,35.32,-78.96
61,Anderson-Dean Community Park,18,37.80,-84.85
62,Anderson Park Disc Golf,18,35.92,-79.10
63,Bomber Run at Anderson Pond,18,30.56,-86.51
64,Anderson River Park,18,40.47,-122.28
65,Anderson Valley Brewing Company,18,39.00,-123.36
66,Central Park Disc Golf Course,18,37.69,-97.12
67,Andrew Brown Park,18,32.98,-96.98
68,Andrews University,18,41.97,-86.36
69,Angel Fire Resort,18,36.39,-105.27
70,Angry Apple,18,42.91,-78.43
71,Ann Dever Park,18,26.92,-82.31
72,Ann Morrison Park,21,43.61,-116.22
73,Anna City Park,18,37.46,-89.25
74,Anna Page Park - East,18,42.31,-89.15
75,Anna Page Park - South,18,42.31,-89.15
76,Anna Page Park - West,18,42.31,-89.15
77,Anson B. Nixon Park,18,39.85,-75.71
78,Anthony Lake Disc Golf Course,18,37.17,-98.05
79,Apex Nature Park,18,35.72,-78.90
80,The Apple Farm - Spartan Course,18,42.95,-77.42
81,Apple Mountain,18,34.63,-83.45
82,Aquatic Park,18,37.86,-122.30
83,Arab City Park,18,34.32,-86.48
84,Arapahoe Basin Disc Golf Course,18,39.64,-105.87
85,Arboretum-Spiker Park,27,40.84,-81.41
86,The Arboretum,18,37.33,-95.27
87,Arcadia Lake - Blue,18,35.64,-97.38
88,Arcadia Lake - Red,18,35.64,-97.38
89,Arcadia Park #2,18,32.88,-97.28
90,Archer Disc Golf Course,18,41.15,-104.65
91,Archusa Creek Water Park,18,32.03,-88.71
92,Area 51,18,39.87,-82.97
93,Arethusa Springs Disc Golf Course,18,39.71,-82.20
94,Arizona Snowbowl,18,35.33,-111.71
95,Arkadelphia Youth Sports Complex,18,34.15,-93.08
96,S.Y. Wilson Arlington Sports Complex,18,35.28,-89.68
97,Armco Blue,18,38.44,-82.69
98,Armco Park,18,39.46,-84.28
99,Armco White,19,38.44,-82.69
100,Nelson Acres Disc Golf Course,18,36.38,-80.45
101,B. Cordell Disc Golf Course at Arnette Park,18,35.04,-78.87
102,Arrowhead County Club - The Water Way Course,18,33.71,-78.95
103,Arrowhead Disc Golf Course,27,38.13,-85.85
104,Arrowhead Park,18,34.14,-77.92
105,Arroyo Chamisos Disc Golf Course,18,35.64,-105.99
106,Arsenal at Southern Hills,18,36.56,-79.43
107,Art Dye Disc Golf Park,18,40.40,-111.78
108,Arthur Latham Park,18,43.28,-83.55
109,Arvig Park,18,46.60,-95.57
110,Ash Creek Park,18,32.88,-97.54
111,Ashbaugh Park,18,35.67,-105.97
112,Ashe County Park Disc Golf Course,18,36.44,-81.47
113,Ashe Lake Disc Golf Course,27,31.03,-89.17
114,Aspen Mountain,18,39.19,-106.82
115,Gaylord Disc Golf Course,18,45.02,-84.66
116,ASU Polytechnic 2023,18,33.31,-111.68
117,ASUMH Disc Golf Course,18,36.32,-92.39
118,Athens Regional Park Disc Golf Course,18,35.46,-84.64
119,Atkinson Park Disc Golf Course,18,37.86,-87.58
120,Auburn Regional Park,18,38.95,-121.11
121,Auburn University Montgomery (AUM),22,32.36,-86.17
122,Audubon Park,18,32.85,-96.62
123,Aumiller Park Disc Golf Course,18,40.80,-82.99
124,Ausable Chasm Disc Golf Course,18,44.52,-73.43
125,Austin Ridge Bible Church,20,30.32,-97.87
126,Austintown Township Park,18,41.07,-80.77
127,A.V. Anderson Park Disc Golf Course,18,31.54,-110.29
128,Avalanche Preserve Recreation Area,18,45.20,-85.01
129,Avalon Peaks Apartments,18,35.72,-78.82
130,The Aviary Disc Golf Course,18,38.79,-104.78
131,Avon Town Hall Disc Golf Course,18,39.77,-86.41
132,Axldog Acres Disc Golf Course,20,45.00,-92.05
133,Ayden Park,18,35.49,-77.43
134,Azalea State Park,18,42.06,-124.28
135,Aztec Disc Golf Course,18,36.82,-107.96
136,B. B. Owen Park,18,32.88,-96.70
137,B1 Disc Golf Course,18,33.37,-84.52
